sys_energy,sys_energy_ap,avg_acc_err
-2.14766e+07,-2.14766e+07,nan
-2.14764e+07,-2.14764e+07,0.00210588
-2.1477e+07,-2.1477e+07,0.00210849
-2.1478e+07,-2.1478e+07,0.00210525
-2.14796e+07,-2.14797e+07,0.00210736
-2.14818e+07,-2.14818e+07,0.00210763
-2.14845e+07,-2.14845e+07,0.00211661
-2.14877e+07,-2.14877e+07,0.00212042
-2.14915e+07,-2.14915e+07,0.00212577
-2.14958e+07,-2.14958e+07,0.00211237
-2.15007e+07,-2.15007e+07,0.00212063
-2.15061e+07,-2.15062e+07,0.00211643
-2.15121e+07,-2.15122e+07,0.00212105
-2.15186e+07,-2.15187e+07,0.00212675
-2.15258e+07,-2.15259e+07,0.00213032
-2.15335e+07,-2.15336e+07,0.00214167
-2.15418e+07,-2.1542e+07,0.00215589
-2.15507e+07,-2.15509e+07,0.00217217
-2.15602e+07,-2.15604e+07,0.00216778
-2.15703e+07,-2.15706e+07,0.00218152
-2.15811e+07,-2.15813e+07,0.00217716
-2.15924e+07,-2.15928e+07,0.00219882
-2.16045e+07,-2.16048e+07,0.00219785
-2.16172e+07,-2.16175e+07,0.00219098
-2.16305e+07,-2.16309e+07,0.00218276
-2.16446e+07,-2.1645e+07,0.00216347
-2.16593e+07,-2.16598e+07,0.00217993
-2.16748e+07,-2.16753e+07,0.00217461
-2.1691e+07,-2.16916e+07,0.00219247
-2.1708e+07,-2.17085e+07,0.0021986
-2.17257e+07,-2.17263e+07,0.00220321
-2.17442e+07,-2.17449e+07,0.0022035
-2.17635e+07,-2.17642e+07,0.00218674
-2.17837e+07,-2.17844e+07,0.00221214
-2.18047e+07,-2.18055e+07,0.00221903
-2.18266e+07,-2.18274e+07,0.0022206
-2.18494e+07,-2.18503e+07,0.00219602
-2.18731e+07,-2.18741e+07,0.00220687
-2.18978e+07,-2.18988e+07,0.00222566
-2.19235e+07,-2.19245e+07,0.00222208
-2.19503e+07,-2.19513e+07,0.00224009
-2.1978e+07,-2.19791e+07,0.00223239
-2.20069e+07,-2.2008e+07,0.00221763
-2.20369e+07,-2.20381e+07,0.00220674
-2.20681e+07,-2.20693e+07,0.0022076
-2.21005e+07,-2.21018e+07,0.00221346
-2.21342e+07,-2.21354e+07,0.00219399
-2.21691e+07,-2.21705e+07,0.00219017
-2.22055e+07,-2.22068e+07,0.00219307
-2.22432e+07,-2.22446e+07,0.00219553
-2.22824e+07,-2.22838e+07,0.00222312
-2.23232e+07,-2.23246e+07,0.00223113
-2.23655e+07,-2.2367e+07,0.00226416
-2.24095e+07,-2.2411e+07,0.00227223
-2.24552e+07,-2.24568e+07,0.00227706
-2.25028e+07,-2.25043e+07,0.00226103
-2.25522e+07,-2.25538e+07,0.00227821
-2.26036e+07,-2.26052e+07,0.00231107
-2.26571e+07,-2.26587e+07,0.00228242
-2.27127e+07,-2.27143e+07,0.0023291
-2.27706e+07,-2.27722e+07,0.00234604
-2.28309e+07,-2.28325e+07,0.00235047
-2.28937e+07,-2.28952e+07,0.002374
-2.29591e+07,-2.29606e+07,0.00244257
-2.30273e+07,-2.30288e+07,0.00249997
-2.30984e+07,-2.30998e+07,0.00252928
-2.31725e+07,-2.31739e+07,0.00255389
-2.32499e+07,-2.32513e+07,0.00259123
-2.33307e+07,-2.3332e+07,0.00263018
-2.34151e+07,-2.34163e+07,0.00264204
-2.35033e+07,-2.35045e+07,0.00269541
-2.35955e+07,-2.35966e+07,0.00272786
-2.3692e+07,-2.3693e+07,0.00277005
-2.37931e+07,-2.3794e+07,0.00279406
-2.3899e+07,-2.38997e+07,0.00285102
-2.401e+07,-2.40106e+07,0.0028771
-2.41264e+07,-2.41268e+07,0.00293359
-2.42487e+07,-2.42489e+07,0.00297723
-2.43773e+07,-2.43772e+07,0.00301163
-2.45124e+07,-2.45121e+07,0.002999
-2.46547e+07,-2.46541e+07,0.00312487
-2.48046e+07,-2.48037e+07,0.00320937
-2.49627e+07,-2.49614e+07,0.00337397
-2.51295e+07,-2.51279e+07,0.00353105
-2.53058e+07,-2.53038e+07,0.00372065
-2.54923e+07,-2.54898e+07,0.00392903
-2.56898e+07,-2.56868e+07,0.0040595
-2.58992e+07,-2.58957e+07,0.00417735
-2.61215e+07,-2.61174e+07,0.00428809
-2.63579e+07,-2.63531e+07,0.00439079
-2.66096e+07,-2.6604e+07,0.00451338
-2.6878e+07,-2.68715e+07,0.00464536
-2.71645e+07,-2.7157e+07,0.00475411
-2.74711e+07,-2.74624e+07,0.00484962
-2.77996e+07,-2.77895e+07,0.00492736
-2.81523e+07,-2.81406e+07,0.00497454
-2.85316e+07,-2.85181e+07,0.00505879
-2.89405e+07,-2.89248e+07,0.00512053
-2.93822e+07,-2.93639e+07,0.00515434
-2.98603e+07,-2.98391e+07,0.00519408
-3.03793e+07,-3.03546e+07,0.00521158
-3.0944e+07,-3.09153e+07,0.00526362
-3.15602e+07,-3.15268e+07,0.00529959
-3.22346e+07,-3.21956e+07,0.00526379
-3.2975e+07,-3.29294e+07,0.00528195
-3.37906e+07,-3.37373e+07,0.00530027
-3.46924e+07,-3.463e+07,0.00535553
-3.56935e+07,-3.56202e+07,0.00542573
-3.68095e+07,-3.67233e+07,0.00546585
-3.80595e+07,-3.79579e+07,0.00555659
-3.94669e+07,-3.93466e+07,0.00558269
-4.10604e+07,-4.09175e+07,0.00556268
-4.28762e+07,-4.27055e+07,0.00550293
-4.49599e+07,-4.47548e+07,0.00547205
-4.73702e+07,-4.7122e+07,0.00548137
-5.01842e+07,-4.98811e+07,0.00548315
-5.35049e+07,-5.31308e+07,0.00555828
-5.7474e+07,-5.70062e+07,0.00583701
-6.22935e+07,-6.16988e+07,0.00630959
-6.82649e+07,-6.74917e+07,0.00712447
-7.58677e+07,-7.483e+07,0.008392
-8.59445e+07,-8.44803e+07,0.0104671
-1.00254e+08,-9.79813e+07,0.0139261
-1.24406e+08,-1.19725e+08,0.0201306
-1.76522e+08,-1.67548e+08,0.0321373
-2.34019e+08,-2.27557e+08,0.0532995
-2.75903e+08,-2.72864e+08,0.0691114
-2.99564e+08,-2.98493e+08,0.0766707
-3.11313e+08,-3.11692e+08,0.0816403
-3.12477e+08,-3.13833e+08,0.0835871
-3.07755e+08,-3.09507e+08,0.0836273
-3.00235e+08,-3.0241e+08,0.0835965
-2.87935e+08,-2.90642e+08,0.0832155
-2.72926e+08,-2.75945e+08,0.0814172
-2.54971e+08,-2.58396e+08,0.0813105
-2.34117e+08,-2.37648e+08,0.0737202
-2.12152e+08,-2.1578e+08,0.0715101
-1.89886e+08,-1.93478e+08,0.0677823
-1.66506e+08,-1.70308e+08,0.0611515
-1.42463e+08,-1.46141e+08,0.0534912
-1.17254e+08,-1.20434e+08,0.0317639
-1.01545e+08,-1.03525e+08,0.0133367
-9.07371e+07,-9.22683e+07,0.00898182
-8.22886e+07,-8.35397e+07,0.00645929
-7.53947e+07,-7.64453e+07,0.00478956
-6.96316e+07,-7.05306e+07,0.0036038
-6.47332e+07,-6.5511e+07,0.00288987
-6.05206e+07,-6.12005e+07,0.00261594
-5.68619e+07,-5.74597e+07,0.00253081
-5.36626e+07,-5.41908e+07,0.00231899
-5.08478e+07,-5.13168e+07,0.00207268
-4.83588e+07,-4.8777e+07,0.00177964
-4.61468e+07,-4.6521e+07,0.00164141
-4.41747e+07,-4.45099e+07,0.00155456
-4.2411e+07,-4.27117e+07,0.0013764
-4.08275e+07,-4.10983e+07,0.00123836
-3.94038e+07,-3.9648e+07,0.00103988
-3.81193e+07,-3.83398e+07,0.000860827
-3.69581e+07,-3.71575e+07,0.000767606
-3.59064e+07,-3.6087e+07,0.000804679
-3.49513e+07,-3.51147e+07,0.000834565
-3.40829e+07,-3.42309e+07,0.000816591
-3.32917e+07,-3.34259e+07,0.00083271
-3.25694e+07,-3.26912e+07,0.000834697
-3.19082e+07,-3.20185e+07,0.000877155
-3.13025e+07,-3.14024e+07,0.000989794
-3.07467e+07,-3.08369e+07,0.00107804
-3.02352e+07,-3.03167e+07,0.00109324
-2.97639e+07,-2.98373e+07,0.00109277
-2.9329e+07,-2.9395e+07,0.0011203
-2.89268e+07,-2.8986e+07,0.00116101
-2.85545e+07,-2.86074e+07,0.00114352
-2.82088e+07,-2.82559e+07,0.00111333
-2.78878e+07,-2.79296e+07,0.00107422
-2.75892e+07,-2.76261e+07,0.00104656
-2.7311e+07,-2.73435e+07,0.00106096
-2.70517e+07,-2.708e+07,0.00107163
-2.68095e+07,-2.6834e+07,0.00106299
-2.65832e+07,-2.6604e+07,0.00104924
-2.63715e+07,-2.6389e+07,0.00106226
-2.61733e+07,-2.61876e+07,0.00109928
-2.59876e+07,-2.5999e+07,0.00113939
-2.58135e+07,-2.58221e+07,0.00116237
-2.56502e+07,-2.56561e+07,0.00118643
-2.54969e+07,-2.55004e+07,0.00121738
-2.5353e+07,-2.53541e+07,0.00123763
-2.52179e+07,-2.52167e+07,0.00130866
-2.5091e+07,-2.50877e+07,0.00138262
-2.49719e+07,-2.49665e+07,0.00148269
-2.48601e+07,-2.48527e+07,0.0015466
-2.47551e+07,-2.47458e+07,0.00159548
-2.46567e+07,-2.46455e+07,0.00164636
-2.45644e+07,-2.45514e+07,0.00169394
-2.44779e+07,-2.44632e+07,0.00173769
-2.43971e+07,-2.43806e+07,0.00177139
-2.43215e+07,-2.43033e+07,0.0018062
-2.4251e+07,-2.42312e+07,0.00183188
-2.41854e+07,-2.4164e+07,0.00188202
-2.41245e+07,-2.41015e+07,0.00194554
-2.4068e+07,-2.40435e+07,0.00200379
-2.4016e+07,-2.39898e+07,0.00205997
-2.39682e+07,-2.39405e+07,0.00212063
-2.39244e+07,-2.38952e+07,0.00219272
-2.38847e+07,-2.38539e+07,0.00226375
-2.38489e+07,-2.38165e+07,0.00232731
-2.38169e+07,-2.37829e+07,0.00239688
-2.37887e+07,-2.3753e+07,0.00248315
-2.37643e+07,-2.37269e+07,0.00256763
-2.37435e+07,-2.37044e+07,0.00262116
-2.37263e+07,-2.36856e+07,0.0026975
-2.37129e+07,-2.36703e+07,0.00278204
-2.3703e+07,-2.36587e+07,0.00284791
-2.36969e+07,-2.36506e+07,0.00293216
-2.36944e+07,-2.36462e+07,0.00300648
-2.36957e+07,-2.36455e+07,0.00308796
-2.37008e+07,-2.36484e+07,0.00317064
